Cluster,Analysis,Backdoor,Bot,DDoS,DoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,Exploits,FTP Patator,Fuzzers,Generic,Heartbleed,Infiltration,Normal,Port Scan,Reconnaissance,SSH Patator,Shellcode,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS,Worms
Cluster 212,0,0,0,0,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 213,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 214,0,0,0,6302,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Cluster 215,0,0,0,0,0,0,7105,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 216,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0
Cluster 217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0
Cluster 218,0,0,0,0,1,661,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 219,0,0,0,0,0,0,4288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 22,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 220,0,0,0,0,0,0,0,0,0,1,0,0,561,0,0,0,0,0,0,0,0,0,0,0
Cluster 221,0,0,0,3604,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Cluster 222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,117,0,0,0,0,0,0,0,0
Cluster 223,0,0,0,0,4,0,0,0,0,253,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 224,0,0,0,0,0,0,2656,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
Cluster 226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1563,0,0,0,0,0,0,0,0
Cluster 227,0,0,0,0,0,0,0,0,0,0,0,1967,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 228,0,0,0,0,0,0,0,0,0,0,0,0,0,6608,0,0,0,0,0,0,0,0,0,0
Cluster 229,0,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 23,0,0,0,0,0,2162,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0
Cluster 231,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,6,0,0,0,0,0,0,0,0
Cluster 232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3408,0,0,0,0,0,0,0,0
Cluster 233,0,0,0,0,0,0,0,0,0,0,2329,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5711,0,0,0,0,0,0,0,0
Cluster 235,0,0,1036,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Cluster 236,0,0,0,0,0,0,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 237,0,0,0,0,0,0,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 238,0,0,0,0,0,0,0,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 239,0,0,0,6365,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Cluster 24,0,0,0,0,0,0,0,0,0,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 240,0,0,0,0,0,0,0,0,0,0,0,509,1,0,0,0,0,0,0,0,0,0,0,0
Cluster 241,0,0,0,0,1,0,0,0,0,1,0,0,329,0,0,0,0,0,0,0,0,0,0,0
Cluster 242,0,0,0,0,5,0,0,0,0,429,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster 243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853,0,0,0,0,0,0,0,0
Cluster 244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0
Cluster 245,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469,0,0,0,0,0,0,0,0
Cluster 247,0,0,0,0,0,1412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
